Date,Beta,P/S,P/B,P/E,EPS,ROE,ROA,ROC
4/10/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
5/10/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
6/10/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
7/10/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
8/10/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
9/10/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
10/10/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
11/10/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
12/10/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
13/10/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
14/10/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
15/10/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
16/10/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
17/10/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
18/10/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
19/10/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
20/10/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
21/10/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
22/10/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
23/10/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
24/10/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
25/10/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
26/10/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
27/10/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
28/10/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
29/10/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
30/10/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
31/10/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
1/11/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
2/11/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
3/11/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
4/11/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
5/11/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
6/11/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
7/11/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
8/11/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
9/11/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
10/11/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
11/11/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
12/11/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
13/11/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
14/11/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
15/11/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
16/11/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
17/11/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
18/11/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
19/11/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
20/11/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
21/11/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
22/11/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
23/11/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
24/11/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
25/11/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
26/11/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
27/11/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
28/11/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
