Date,Total Volume_lag1,Total Value_lag1,Market Cap_lag1,Closing Price_lag1,Price Change_lag1,Price Change %_lag1,Matched Volume_lag1,Matched Value_lag1,sentiment_score_lag1,Foreign Investor Room_lag1,Remaining Room Shares_lag1,Remaining Room %_lag1,Matched Buy Volume_lag1,Matched Buy Value_lag1,Matched Sell Volume_lag1,Matched Sell Value_lag1,Negotiated Buy Volume_lag1,Negotiated Buy Value_lag1,Negotiated Sell Volume_lag1,Negotiated Sell Value_lag1,Total Buy Volume_lag1,Total Buy Value_lag1,Total Sell Volume_lag1,Total Sell Value_lag1,EPS,P/E,P/B,P/S,Loi nhuan,GT_Khop,KL_Khop,KL_Ban,KL_Mua,Closing Price,MA5,MA10,STD5,STD10
2024-08-02,6870301.0,866879.0,182263919.0,124800.0,-3800.0,-2.95,6870300.0,866879.0,0.0,715619552.0,57595364.0,3.94,759000.0,95998.0,2042700.0,259170.0,0.0,0.0,0.0,0.0,759000.0,95998.0,2042700.0,259170.0,5618,5.81,23.23,12.5,1873810000000.0,17425878,132559000,161618900,173092300,123200,126720.0,126220.0,2571.380951940027,2038.9539801901522
2024-08-05,10157200.0,1246526.0,179927202.0,123200.0,-1600.0,-1.28,9944700.0,1221179.0,2.0,715619552.0,57520250.0,3.94,1436700.0,176667.0,1182000.0,144961.0,0.0,0.0,0.0,0.0,1436700.0,176667.0,1182000.0,144961.0,5618,5.81,23.23,12.5,1873810000000.0,17425878,132559000,161618900,173092300,118600,124640.0,125670.0,4048.209480745778,3126.2508607666755
2024-08-06,10415200.0,1254100.0,173209141.0,118600.0,-4600.0,-3.73,10415200.0,1254100.0,0.0,715619552.0,56840449.0,3.89,2134200.0,256997.0,2872000.0,345909.0,0.0,0.0,0.0,0.0,2134200.0,256997.0,2872000.0,345909.0,5618,5.81,23.23,12.5,1873810000000.0,17425878,132559000,161618900,173092300,120800,123200.0,125200.0,3828.8379438153293,3487.1191548325296
2024-08-07,7021850.0,847027.0,176422126.0,120800.0,2200.0,1.85,6728100.0,812059.0,1.0,715619552.0,56748548.0,3.89,1439000.0,173728.0,2355700.0,284202.0,209100.0,25238.0,239100.0,28942.0,1648100.0,198965.0,2594800.0,313143.0,5618,5.81,23.23,12.5,1873810000000.0,17425878,132559000,161618900,173092300,122000,121880.0,124800.0,2356.2682360037024,3612.3245824384085
2024-08-08,2822800.0,341315.0,178174664.0,122000.0,1200.0,0.99,2822800.0,341315.0,1.0,715619552.0,56489876.0,3.87,1007600.0,122055.0,704900.0,85090.0,0.0,0.0,0.0,0.0,1007600.0,122055.0,704900.0,85090.0,5618,5.81,23.23,12.5,1873810000000.0,17425878,132559000,161618900,173092300,121400,121200.0,124440.0,1702.93863659264,3766.2831663177985
2024-08-09,3231431.0,393129.0,177298395.0,121400.0,-600.0,-0.49,2654900.0,322995.0,0.0,715619552.0,58355130.0,4.0,919200.0,111772.0,897000.0,109211.0,576531.0,70134.0,576531.0,70134.0,1495731.0,181905.0,1473531.0,179345.0,5618,5.81,23.23,12.5,1873810000000.0,17425878,132559000,161618900,173092300,126900,121940.0,124330.0,3055.8141304732526,3665.4695015327297
2024-08-12,6011400.0,748943.0,185330860.0,126900.0,5500.0,4.53,5496400.0,684744.0,1.0,715619552.0,59821871.0,4.1,2076800.0,258798.0,800800.0,99297.0,515000.0,64201.0,515000.0,64201.0,2591800.0,322999.0,1315800.0,163498.0,5618,5.81,23.23,12.5,1873810000000.0,17425878,132559000,161618900,173092300,130000,124220.0,124430.0,4036.3349712331856,3817.518100080781
2024-08-13,6775001.0,872913.0,189858249.0,130000.0,3100.0,2.44,6183500.0,797496.0,2.0,715619552.0,58327789.0,3.99,2168400.0,279329.0,1000800.0,129091.0,500000.0,64608.0,500000.0,64608.0,2668400.0,343937.0,1500800.0,193699.0,5618,5.81,23.23,12.5,1873810000000.0,17425878,132559000,161618900,173092300,129700,126000.0,124600.0,4112.784944535758,4026.3024117806954
2024-08-14,4362901.0,563715.0,189420114.0,129700.0,-300.0,-0.23,4097900.0,529462.0,1.0,715619552.0,57000310.0,3.9,1515700.0,195960.0,891400.0,115049.0,187000.0,24155.0,217000.0,28013.0,1702700.0,220115.0,1108400.0,143063.0,5618,5.81,23.23,12.5,1873810000000.0,17425878,132559000,161618900,173092300,129500,127500.0,124690.0,3628.3605113053472,4134.260648666343
2024-08-15,3822200.0,489612.0,189128025.0,129500.0,-200.0,-0.15,2862200.0,372246.0,2.0,715619552.0,56285627.0,3.85,952100.0,123682.0,579300.0,75268.0,150000.0,19486.0,170000.0,22015.0,1102100.0,143169.0,749300.0,97283.0,5618,5.81,23.23,12.5,1873810000000.0,17425878,132559000,161618900,173092300,128700,128960.0,125080.0,1248.198702130394,4325.325935053263
2024-08-16,2305600.0,296851.0,187959666.0,128700.0,-800.0,-0.62,2257600.0,290611.0,1.0,715619552.0,56334130.0,3.86,817300.0,105192.0,201700.0,25989.0,0.0,0.0,0.0,0.0,817300.0,105192.0,201700.0,25989.0,5618,5.81,23.23,12.5,1873810000000.0,17425878,132559000,161618900,173092300,130600,129700.0,125820.0,696.419413859206,4592.699520857947
2024-08-19,5486600.0,714680.0,190734517.0,130600.0,1900.0,1.48,5093600.0,663590.0,2.0,715619552.0,56449371.0,3.87,847300.0,110389.0,646700.0,84092.0,0.0,0.0,0.0,0.0,847300.0,110389.0,646700.0,84092.0,5618,5.81,23.23,12.5,1873810000000.0,17425878,132559000,161618900,173092300,130500,129800.0,127010.0,781.0249675906655,4020.0746261729937
2024-08-20,2554862.0,333416.0,190588473.0,130500.0,-100.0,-0.08,2498400.0,326051.0,2.0,715619552.0,56201318.0,3.85,267800.0,34937.0,505700.0,65959.0,36400.0,4745.0,36400.0,4745.0,304200.0,39683.0,542100.0,70705.0,5618,5.81,23.23,12.5,1873810000000.0,17425878,132559000,161618900,173092300,131500,130160.0,128080.0,1080.7404868885037,3583.8526755434486
2024-08-21,3984400.0,523952.0,192048921.0,131500.0,1000.0,0.77,3741400.0,492119.0,2.0,715619552.0,56135326.0,3.84,1186400.0,155996.0,211500.0,27852.0,0.0,0.0,0.0,0.0,1186400.0,155996.0,211500.0,27852.0,5618,5.81,23.23,12.5,1873810000000.0,17425878,132559000,161618900,173092300,133500,130960.0,129230.0,1745.8522274236157,3245.1844665938715
2024-08-22,6471900.0,855021.0,194969817.0,133500.0,2000.0,1.52,6119700.0,808777.0,0.0,715619552.0,55595653.0,3.81,2677900.0,353955.0,606900.0,80108.0,0.0,0.0,0.0,0.0,2677900.0,353955.0,606900.0,80108.0,5618,5.81,23.23,12.5,1873810000000.0,17425878,132559000,161618900,173092300,133800,131980.0,130470.0,1577.0225109363532,2081.158865205189
2024-08-23,3560500.0,477023.0,195407951.0,133800.0,300.0,0.22,3020500.0,404697.0,1.0,715619552.0,52068658.0,3.57,1354720.0,181445.0,321675.0,43100.0,500000.0,66992.0,500000.0,66992.0,1854720.0,248436.0,821675.0,110091.0,5618,5.81,23.23,12.5,1873810000000.0,17425878,132559000,161618900,173092300,133100,132480.0,131090.0,1418.4498581197715,1804.5929057700193
2024-08-26,3325001.0,442160.0,194385638.0,133100.0,-700.0,-0.52,3055000.0,406247.0,1.0,715619552.0,50776306.0,3.48,1496170.0,198989.0,576595.0,76670.0,270000.0,35914.0,270000.0,35914.0,1766170.0,234903.0,846595.0,112584.0,5618,5.81,23.23,12.5,1873810000000.0,17425878,132559000,161618900,173092300,131500,132680.0,131240.0,1105.4410884348383,1765.848867321931
2024-08-27,2758200.0,364394.0,192048921.0,131500.0,-1600.0,-1.2,2590300.0,342213.0,2.0,715619552.0,50849358.0,3.48,534200.0,70572.0,116300.0,15414.0,167900.0,22182.0,167900.0,22182.0,702100.0,92754.0,284200.0,37596.0,5618,5.81,23.23,12.5,1873810000000.0,17425878,132559000,161618900,173092300,132500,132880.0,131520.0,912.1403400793104,1715.808847162154
2024-08-28,2989900.0,393505.0,193509369.0,132500.0,1000.0,0.76,2338500.0,308172.0,1.0,715619552.0,50155428.0,3.43,1015605.0,133869.0,92548.0,12193.0,0.0,0.0,0.0,0.0,1015605.0,133869.0,92548.0,12193.0,5618,5.81,23.23,12.5,1873810000000.0,17425878,132559000,161618900,173092300,133300,132840.0,131900.0,882.0430828479979,1637.7491328717426
2024-08-29,2909701.0,388745.0,194677727.0,133300.0,800.0,0.6,2711500.0,362337.0,0.0,715619552.0,49464468.0,3.39,1267555.0,169377.0,227238.0,30368.0,198200.0,26409.0,198200.0,26409.0,1465755.0,195786.0,425438.0,56777.0,5618,5.81,23.23,12.5,1873810000000.0,17425878,132559000,161618900,173092300,133700,132820.0,132400.0,855.5699854482975,1275.4084313139012
2024-08-30,2637701.0,351244.0,195261906.0,133700.0,400.0,0.3,2092700.0,278675.0,0.0,715619552.0,49580768.0,3.39,1082100.0,144145.0,238200.0,31696.0,525000.0,69912.0,525000.0,69912.0,1607100.0,214057.0,763200.0,101607.0,5618,5.81,23.23,12.5,1873810000000.0,17425878,132559000,161618900,173092300,134800,133160.0,132820.0,1244.1864811996631,1307.924564593305
2024-09-04,3379800.0,454881.0,196868399.0,134800.0,1100.0,0.82,3315800.0,446145.0,2.0,715619552.0,47169389.0,3.23,1422600.0,191350.0,24500.0,3293.0,0.0,0.0,0.0,0.0,1422600.0,191350.0,24500.0,3293.0,5618,5.81,23.23,12.5,1873810000000.0,12332109,96911000,135081700,119291500,133000,133460.0,133070.0,867.7557259966655,1023.1215850414342
2024-09-05,4735200.0,626701.0,194239593.0,133000.0,-1800.0,-1.34,4535200.0,600247.0,2.0,715619552.0,47396627.0,3.25,1154600.0,153096.0,1762600.0,233163.0,400000.0,52911.0,400000.0,52911.0,1554600.0,206007.0,2162600.0,286074.0,5618,5.81,23.23,12.5,1873810000000.0,12332109,96911000,135081700,119291500,130600,133080.0,132980.0,1544.9919093639294,1200.7405122580383
2024-09-06,8055600.0,1051193.0,190734517.0,130600.0,-2400.0,-1.8,8055600.0,1051193.0,1.0,715619552.0,46480237.0,3.18,1836700.0,239256.0,3917600.0,511464.0,0.0,0.0,0.0,0.0,1836700.0,239256.0,3917600.0,511464.0,5618,5.81,23.23,12.5,1873810000000.0,12332109,96911000,135081700,119291500,132100,132840.0,132840.0,1594.678651014053,1214.9074038789613
2024-09-09,4251400.0,560476.0,192925190.0,132100.0,1500.0,1.15,3821400.0,503724.0,1.0,715619552.0,44667914.0,3.06,2215700.0,292082.0,672000.0,88493.0,400000.0,52793.0,430000.0,56753.0,2615700.0,344875.0,1102000.0,145247.0,5618,5.81,23.23,12.5,1873810000000.0,12332109,96911000,135081700,119291500,131300,132360.0,132590.0,1631.8700928689145,1252.0649610409944
2024-09-10,2885201.0,377085.0,191756831.0,131300.0,-800.0,-0.61,2885200.0,377085.0,0.0,715619552.0,44214926.0,3.03,606000.0,79334.0,1439600.0,188125.0,0.0,0.0,0.0,0.0,606000.0,79334.0,1439600.0,188125.0,5618,5.81,23.23,12.5,1873810000000.0,12332109,96911000,135081700,119291500,130000,131400.0,132280.0,1189.5377253370318,1475.578982411059
2024-09-11,4195101.0,546653.0,189858249.0,130000.0,-1300.0,-0.99,4195100.0,546653.0,1.0,715619552.0,46293277.0,3.17,1235382.0,160995.0,2037939.0,265692.0,0.0,0.0,0.0,0.0,1235382.0,160995.0,2037939.0,265692.0,5618,5.81,23.23,12.5,1873810000000.0,12332109,96911000,135081700,119291500,130600,130920.0,132190.0,804.3631020876082,1553.8125155028376
2024-09-12,3590400.0,468331.0,190734517.0,130600.0,600.0,0.46,3190400.0,416155.0,2.0,715619552.0,44991604.0,3.08,1949700.0,254325.0,879040.0,114476.0,400000.0,52176.0,400000.0,52176.0,2349700.0,306501.0,1279040.0,166652.0,5618,5.81,23.23,12.5,1873810000000.0,12332109,96911000,135081700,119291500,132300,131260.0,132170.0,976.2171889492624,1550.6629406661777
2024-09-13,4368000.0,576317.0,193217279.0,132300.0,1700.0,1.3,4118000.0,543297.0,1.0,715619552.0,44236758.0,3.03,2194446.0,289430.0,1311030.0,172728.0,250000.0,33020.0,250000.0,33020.0,2444446.0,322450.0,1561030.0,205748.0,5618,5.81,23.23,12.5,1873810000000.0,12332109,96911000,135081700,119291500,133000,131440.0,132140.0,1221.8837915284744,1529.1246588235194
2024-09-16,3935700.0,523101.0,194239593.0,133000.0,700.0,0.53,3186800.0,423783.0,0.0,715619552.0,44585697.0,3.05,1695000.0,225442.0,167400.0,22241.0,627900.0,83498.0,687900.0,91424.0,2322900.0,308940.0,855300.0,113666.0,5618,5.81,23.23,12.5,1873810000000.0,12332109,96911000,135081700,119291500,131100,131400.0,131880.0,1230.853362509117,1453.5779610632546
2024-09-17,2295700.0,302263.0,191464741.0,131100.0,-1900.0,-1.43,1915700.0,252145.0,1.0,715619552.0,44837442.0,3.07,531295.0,69888.0,207300.0,27306.0,380000.0,50118.0,300000.0,39486.0,911295.0,120006.0,507300.0,66792.0,5618,5.81,23.23,12.5,1873810000000.0,12332109,96911000,135081700,119291500,132900,131980.0,131690.0,1080.2777420645118,1114.0017953306544
2024-09-18,3621400.0,482742.0,194093548.0,132900.0,1800.0,1.37,2651400.0,350670.0,1.0,715619552.0,44293152.0,3.03,1855320.0,245342.0,409400.0,54184.0,0.0,0.0,20000.0,2572.0,1855320.0,245342.0,429400.0,56756.0,5618,5.81,23.23,12.5,1873810000000.0,12332109,96911000,135081700,119291500,134600,132780.0,131850.0,1267.675037223657,1400.9917122444729
2024-09-19,5449600.0,731997.0,196576310.0,134600.0,1700.0,1.28,5379600.0,722775.0,2.0,715619552.0,42427346.0,2.91,2093206.0,280901.0,1244625.0,167112.0,0.0,0.0,70000.0,9222.0,2093206.0,280901.0,1314625.0,176334.0,5618,5.81,23.23,12.5,1873810000000.0,12332109,96911000,135081700,119291500,135200,133360.0,132310.0,1610.2794788483147,1673.6188335460163
2024-09-20,5154300.0,695884.0,197452579.0,135200.0,600.0,0.45,5154300.0,695884.0,1.0,715619552.0,40738683.0,2.79,1895963.0,255777.0,1633745.0,220341.0,0.0,0.0,0.0,0.0,1895963.0,255777.0,1633745.0,220341.0,5618,5.81,23.23,12.5,1873810000000.0,12332109,96911000,135081700,119291500,135300,133820.0,132630.0,1799.1664736760742,1917.2028235600405
2024-09-23,3719700.0,506352.0,197598623.0,135300.0,100.0,0.07,3719700.0,506352.0,0.0,715619552.0,39984382.0,2.74,1183201.0,160994.0,1318487.0,179378.0,0.0,0.0,0.0,0.0,1183201.0,160994.0,1318487.0,179378.0,5618,5.81,23.23,12.5,1873810000000.0,12332109,96911000,135081700,119291500,134000,134400.0,132900.0,987.420882906575,1899.1226044325285
2024-09-24,3482200.0,462669.0,195700041.0,134000.0,-1300.0,-0.96,2441200.0,327877.0,0.0,715619552.0,40619322.0,2.78,715685.0,96269.0,666100.0,89470.0,440000.0,59009.0,440000.0,59009.0,1155685.0,155278.0,1106100.0,148478.0,5618,5.81,23.23,12.5,1873810000000.0,12332109,96911000,135081700,119291500,134500,134720.0,133350.0,535.7238094391549,1652.7754435090667
2024-09-25,2755516.0,367917.0,196430265.0,134500.0,500.0,0.37,2011400.0,269631.0,1.0,715619552.0,41595917.0,2.85,657150.0,88097.0,528218.0,70771.0,530000.0,71050.0,560000.0,74929.0,1187150.0,159147.0,1088218.0,145700.0,5618,5.81,23.23,12.5,1873810000000.0,12332109,96911000,135081700,119291500,134800,134760.0,133770.0,531.9774431308155,1388.8844444373055
2024-09-26,4679900.0,628229.0,196868399.0,134800.0,300.0,0.22,4479900.0,601385.0,1.0,715619552.0,40757401.0,2.79,2157003.0,289628.0,1824696.0,244890.0,200000.0,26845.0,200000.0,26845.0,2357003.0,316473.0,2024696.0,271735.0,5618,5.81,23.23,12.5,1873810000000.0,12332109,96911000,135081700,119291500,134300,134580.0,133970.0,496.9909455915671,1294.4754407351988
2024-09-27,3080600.0,413686.0,196138175.0,134300.0,-500.0,-0.37,2815600.0,378102.0,1.0,715619552.0,40552917.0,2.78,900584.0,120920.0,896449.0,120341.0,265000.0,35585.0,265000.0,35585.0,1165584.0,156505.0,1161449.0,155926.0,5618,5.81,23.23,12.5,1873810000000.0,12332109,96911000,135081700,119291500,134200,134360.0,134090.0,304.9590136395381,1249.3998559308068
2024-09-30,3552800.0,475614.0,195992130.0,134200.0,-100.0,-0.07,3352800.0,448848.0,1.0,715619552.0,39232820.0,2.69,1880715.0,251811.0,1112286.0,148881.0,200000.0,26767.0,200000.0,26767.0,2080715.0,278579.0,1312286.0,175649.0,5618,5.81,23.23,12.5,1873810000000.0,12332109,96911000,135081700,119291500,134500,134460.0,134430.0,230.21728866442677,676.6748767974252
2024-10-01,3278500.0,438011.0,196430265.0,134500.0,300.0,0.22,3030500.0,404863.0,1.0,715619552.0,39274758.0,2.69,1788758.0,239009.0,1455825.0,194202.0,248000.0,33148.0,248000.0,33148.0,2036758.0,272157.0,1703825.0,227350.0,5652,5.55,23.8,12.35,2088850000000.0,9420669,70939800,122299500,110238700,135900,134740.0,134730.0,687.749954561976,581.2821078347505
2024-10-02,6887000.0,936206.0,198474892.0,135900.0,1400.0,1.04,4725900.0,642311.0,2.0,715619552.0,37495846.0,2.57,2675361.0,363605.0,255201.0,34650.0,161100.0,21896.0,161100.0,21896.0,2836461.0,385501.0,416301.0,56545.0,5652,5.55,23.8,12.35,2088850000000.0,9420669,70939800,122299500,110238700,135400,134860.0,134810.0,750.3332592921628,615.4492487424938
2024-10-03,2369200.0,320553.0,197744668.0,135400.0,-500.0,-0.37,1719800.0,232879.0,2.0,715619552.0,37594785.0,2.57,1013347.0,137232.0,130300.0,17638.0,177000.0,23984.0,567100.0,76812.0,1190347.0,161216.0,697400.0,94450.0,5652,5.55,23.8,12.35,2088850000000.0,9420669,70939800,122299500,110238700,134000,134800.0,134690.0,815.4753215150046,647.1304179048445
